Id,Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),Questionário: PROVA 2 - ERE - ATESTADO (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 - ERE (Real),Questionário: PROVA 3 - ERE - ATESTADO (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Conceito Final (Real),Total do curso (Real)
141,10,10,10,7.5,6.67,6.67,10,10,0,5,10,5,7.57,0.8,8,8.8,1,7.33,-,8.33,0.7,7.87,-,8.57,8.57,8.17,-,-,-,3.27,8.17,8.17
142,10,10,10,5,6.67,10,10,10,10,10,10,10,9.31,0.6,6,6.6,1,6.33,-,7.33,1,1.33,-,2.33,5.42,6.98,-,-,-,2.79,6.98,6.98
143,10,10,10,7.5,10,10,10,6.67,10,10,10,10,9.51,0.8,6.5,7.3,0.9,1.33,-,2.23,0.8,2.4,-,3.2,4.24,6.35,-,-,-,2.54,6.35,6.35
144,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,5.83,-,6.83,1,8.3,-,9.3,8.71,9.23,-,-,-,3.69,9.23,9.23
145,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,7,7.9,1,6.5,-,7.5,1,4.98,-,5.98,7.13,8.28,-,-,-,3.31,8.28,8.28
146,10,10,10,5,3.33,10,5,10,10,10,10,10,8.61,0.8,3.5,4.3,0.8,3,-,3.8,1,5.07,-,6.07,4.72,6.28,-,-,-,2.51,6.28,6.28
147,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,1,7,8,1,8.67,-,9.67,1,9.03,-,10,9.22,9.45,-,-,-,3.78,9.45,9.45
148,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,6.33,-,7.33,1,2.97,-,3.97,6.77,8.06,-,-,-,3.22,8.06,8.06
149,10,10,10,10,10,6.67,5,6.67,10,10,10,10,9.03,0.8,8,8.8,0.7,3,-,3.7,0.8,4.23,-,5.03,5.84,7.12,-,-,-,2.85,7.12,7.12
150,-,10,10,10,10,10,10,6.67,0,10,10,10,8.06,0.9,9.5,10,0.8,9,-,9.8,1,9.33,-,10,9.93,9.18,-,-,-,3.67,9.18,9.18
151,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,4.33,-,5.33,1,6.57,-,7.57,7.3,8.38,-,-,-,3.35,8.38,8.38
152,9.38,10,10,5,6.67,6.67,5,10,10,10,10,10,8.56,0.5,8.5,9,1,5.33,-,6.33,0.9,5.6,-,6.5,7.28,7.79,-,-,-,3.12,7.79,7.79
153,-,-,10,7.5,10,-,-,-,10,5,10,10,5.21,0.6,3,3.6,0.7,5.33,-,6.03,0.7,7.43,-,8.13,5.92,5.64,0.7,8.67,9.37,7.87,7.87,7.87
154,-,10,10,10,10,10,10,10,10,10,10,10,9.17,1,6.5,7.5,1,5,-,6,1,1.73,-,2.73,5.41,6.91,-,-,-,2.77,6.91,6.91
155,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.8,8.5,9.3,0.9,3.83,-,4.73,1,3.38,-,4.38,6.14,7.6,-,-,-,3.04,7.6,7.6
156,-,10,10,10,6.67,10,10,10,10,10,10,10,8.89,0.7,5,5.7,0.9,6.67,-,7.57,1,0.33,-,1.33,4.87,6.48,-,-,-,2.59,6.48,6.48
157,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,4,4.8,0.9,5,-,5.9,1,0,-,1,3.9,6.34,-,-,-,2.54,6.34,6.34
158,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,5.5,6.4,1,6.17,-,7.17,1,7.23,-,8.23,7.27,8.28,-,-,-,3.31,8.28,8.28
159,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,8.83,-,9.83,1,7,-,8,8.94,9.37,-,-,-,3.75,9.37,9.37
160,9.38,10,-,10,10,3.33,-,10,0,10,0,5,5.64,1,6,7,0.7,4.5,-,5.2,0.4,0.33,-,0.73,4.31,4.84,0.6,7.25,7.85,6.65,6.65,6.65
161,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,7.83,-,8.83,1,8.37,-,9.37,9.4,9.64,-,-,-,3.86,9.64,9.64
162,10,10,10,7.5,10,6.67,5,10,0,10,10,10,8.26,0.4,6.5,6.9,0.7,6.5,-,7.2,0.8,5.13,-,5.93,6.68,7.31,-,-,-,2.92,7.31,7.31
163,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,0.9,8.5,-,9.4,0.5,8.89,-,9.39,9.6,9.76,-,-,-,3.9,9.76,9.76
164,10,10,10,10,10,10,10,10,10,10,5,10,9.58,1,8,9,1,9.33,-,10,0.9,9.7,-,10,9.67,9.63,-,-,-,3.85,9.63,9.63
165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7,8,8.7,1,6,-,7,1,4.17,-,5.17,6.96,8.17,-,-,-,3.27,8.17,8.17
167,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,10,10,1,10,-,10,1,9.33,-,10,10,10,-,-,-,4,10,10
168,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,8.67,-,9.67,1,9.3,-,10,9.89,9.93,-,-,-,3.97,9.93,9.93
169,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,1,7,8,0.8,3.5,-,4.3,0.8,7.87,-,8.67,6.99,8.11,-,-,-,3.24,8.11,8.11
170,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,5.5,6.3,1,3.83,-,4.83,0.8,5.27,-,6.07,5.73,7.44,-,-,-,2.98,7.44,7.44
171,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,8.83,-,9.83,0.7,7.73,-,8.43,9.42,9.65,-,-,-,3.86,9.65,9.65
172,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,7,-,8,1,7.83,-,8.83,8.94,9.37,-,-,-,3.75,9.37,9.37
173,8.75,-,-,7.5,6.67,3.33,5,3.33,-,5,10,5,4.55,0.6,8,8.6,0.7,3.83,-,4.53,0.4,5.47,-,5.87,6.33,5.62,-,7,7,6.45,6.45,6.45
174,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.8,5.5,6.3,1,6.5,-,7.5,1,2,-,3,5.6,7.28,-,-,-,2.91,7.28,7.28
175,-,10,10,10,10,10,10,10,10,10,10,10,9.17,0.9,5,5.9,-,-,-,0,1,8.53,-,9.53,5.14,6.75,-,-,-,2.7,6.75,6.75
176,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,7,0.9,4.33,-,5.23,1,3.74,-,4.74,5.66,7.4,-,-,-,2.96,7.4,7.4
177,9.38,10,10,7.5,10,6.67,10,10,10,10,10,10,9.46,0.8,5,5.8,0.5,0,-,0.5,1,3.87,-,4.87,3.72,6.02,-,-,-,2.41,6.02,6.02
178,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,7,0.8,3.33,-,4.13,1,0,-,1,4.04,6.43,-,-,-,2.57,6.43,6.43
179,10,10,10,10,10,10,10,10,10,10,10,10,10,1,4.5,5.5,1,5.17,-,6.17,1,1.37,-,2.37,4.68,6.81,-,-,-,2.72,6.81,6.81
180,10,10,10,10,10,10,5,10,10,10,10,10,9.58,0.9,9,9.9,1,7.83,-,8.83,1,9.37,-,10,9.58,9.58,-,-,-,3.83,9.58,9.58
181,10,10,10,7.5,10,10,10,10,0,10,10,10,8.96,-,9.5,9.5,0.6,6.67,-,7.27,-,7.07,-,7.07,7.94,8.35,-,-,-,3.34,8.35,8.35
182,10,10,10,7.5,10,-,10,10,10,10,10,10,8.96,0.9,7,7.9,0.9,5,-,5.9,1,5.67,-,6.67,6.82,7.68,-,-,-,3.07,7.68,7.68
183,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,7,0.9,4,-,4.9,1,2.78,-,3.78,5.23,7.14,-,-,-,2.85,7.14,7.14
184,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.8,9,9.8,1,4.33,-,5.33,1,7.67,-,8.67,7.93,8.68,-,-,-,3.47,8.68,8.68
185,10,10,10,7.5,10,6.67,10,10,10,10,10,10,9.51,0.9,9,9.9,0.7,5.17,-,5.87,1,7.67,-,8.67,8.14,8.69,-,-,-,3.48,8.69,8.69
186,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,7,1,2,-,3,1,7.67,-,8.67,6.22,7.73,-,-,-,3.09,7.73,7.73
187,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,5,5.9,1,3.33,-,4.33,1,3.03,-,4.03,4.76,6.85,-,-,-,2.74,6.85,6.85
188,-,-,-,7.5,-,-,-,-,-,-,-,-,0.63,-,3,3,-,-,-,0,-,-,-,0,1,0.85,-,-,-,0.34,0.85,0.85
189,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,2,2.9,1,3.33,-,4.33,1,5.1,-,6.1,4.44,6.58,-,-,-,2.63,6.58,6.58
190,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,5,5.9,1,5.5,-,6.5,1,1.37,-,2.37,4.92,6.95,-,-,-,2.78,6.95,6.95
191,10,10,6.67,10,10,10,10,10,10,5,-,10,8.47,0.7,10,10,0.7,7,-,7.7,1,4.57,-,5.57,7.76,8.04,-,-,-,3.22,8.04,8.04
192,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8.5,9.4,0.9,6.17,-,7.07,0.8,6.83,-,7.63,8.03,8.82,-,-,-,3.53,8.82,8.82
193,10,10,-,10,10,10,10,10,10,10,10,10,9.17,1,10,10,1,9,-,10,1,9.3,-,10,10,9.67,-,-,-,3.87,9.67,9.67
194,9.38,10,-,5,6.67,6.67,10,6.67,10,5,10,10,7.45,0.5,6,6.5,0.6,3,-,3.6,0.7,0.67,7,8.37,6.16,6.67,-,-,-,2.67,6.67,6.67
195,9.38,10,10,5,10,10,-,10,10,10,10,10,8.7,1,4,5,1,7.33,-,8.33,1,2.93,-,3.93,5.76,6.93,-,-,-,2.77,6.93,6.93
196,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,9.5,-,10,1,6.9,-,7.9,8.97,9.38,-,-,-,3.75,9.38,9.38
197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198,10,10,10,7.5,10,6.67,10,10,10,10,10,10,9.51,0.9,6.5,7.4,0.8,8,-,8.8,0.9,6.07,-,6.97,7.72,8.44,-,-,-,3.38,8.44,8.44
199,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6,6.9,1,6.17,-,7.17,0.7,5.54,-,6.24,6.77,8.06,-,-,-,3.22,8.06,8.06
200,-,-,10,10,10,10,10,10,10,10,10,10,8.33,0.7,4.5,5.2,0.8,4,-,4.8,0.8,3.03,-,3.83,4.61,6.1,-,-,-,2.44,6.1,6.1
201,10,10,10,10,10,10,10,10,0,10,10,10,9.17,0.9,8,8.9,0.7,8.67,-,9.37,0.9,7.9,-,8.8,9.02,9.08,-,-,-,3.63,9.08,9.08
202,10,10,10,7.5,10,6.67,5,6.67,10,5,10,10,8.4,0.9,9,9.9,0.6,4.83,-,5.43,0.7,6.6,-,7.3,7.54,7.89,-,-,-,3.16,7.89,7.89
203,10,-,10,10,10,6.67,10,6.67,10,10,5,10,8.19,0.7,5.5,6.2,1,4.33,-,5.33,0.9,4.73,-,5.63,5.72,6.71,-,-,-,2.68,6.71,6.71
204,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,7.5,8.4,1,1,-,2,1,4.97,-,5.97,5.46,7.27,-,-,-,2.91,7.27,7.27
205,10,10,10,10,10,10,10,10,10,5,-,-,7.92,0.9,9,9.9,0.7,4.5,-,5.2,-,-,-,0,5.03,6.19,-,-,-,2.47,6.19,6.19
206,9.38,10,10,7.5,10,10,10,10,10,5,10,10,9.32,0.7,7,7.7,0.7,7.67,-,8.37,0.6,3.59,-,4.19,6.75,7.78,-,-,-,3.11,7.78,7.78
207,10,10,10,7.5,10,10,5,10,10,10,10,10,9.38,1,7.5,8.5,1,5.17,-,6.17,1,4.93,-,5.93,6.87,7.87,-,-,-,3.15,7.87,7.87
208,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6,6.9,0.8,10,-,10,1,7.53,-,8.53,8.48,9.09,-,-,-,3.63,9.09,9.09
209,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6.5,7.4,0.9,5,-,5.9,1,6.11,-,7.11,6.8,8.08,-,-,-,3.23,8.08,8.08
210,10,10,10,7.5,6.67,0,5,10,10,10,10,10,8.26,0.8,6,6.8,1,2.5,-,3.5,1,7.93,-,8.93,6.41,7.15,-,-,-,2.86,7.15,7.15
211,-,10,10,5,10,10,-,10,0,10,10,10,7.08,0.9,8,8.9,1,1,9,10,0.8,5.89,-,6.69,8.53,7.95,-,-,-,3.18,7.95,7.95
212,10,10,10,10,10,10,10,10,10,10,10,10,10,1,3,4,1,2,-,3,1,2.53,-,3.53,3.51,6.11,-,-,-,2.44,6.11,6.11
213,10,10,10,10,10,10,10,10,10,10,10,10,10,1,7,8,1,4.33,-,5.33,1,5.13,-,6.13,6.49,7.89,-,-,-,3.16,7.89,7.89
214,10,10,10,10,10,10,10,10,10,10,10,10,10,0.6,5,5.6,0.9,1,-,1.9,0.9,4.6,-,5.5,4.33,6.6,-,-,-,2.64,6.6,6.6
215,10,10,10,7.5,10,6.67,10,6.67,10,10,10,10,9.24,0.9,5,5.9,1,5.67,-,6.67,0.9,3.81,-,4.71,5.76,7.15,-,-,-,2.86,7.15,7.15
216,-,10,10,2.5,6.67,6.67,5,6.67,10,10,5,10,6.88,0.7,7,7.7,0.9,5.5,-,6.4,1,2.12,-,3.12,5.74,6.19,-,-,-,2.48,6.19,6.19
217,-,10,10,7.5,10,10,5,10,10,10,10,10,8.54,0.9,5,5.9,0.9,5,-,5.9,1,1.42,-,2.42,4.74,6.26,-,-,-,2.5,6.26,6.26
218,10,10,10,7.5,10,6.67,10,10,10,10,10,10,9.51,0.9,5,5.9,0.9,4,-,4.9,1,1.63,-,2.63,4.48,6.49,-,-,-,2.6,6.49,6.49
219,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6.5,7.4,1,7,-,8,1,2.33,-,3.33,6.24,7.75,-,-,-,3.1,7.75,7.75
220,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,8,-,9,1,7.63,-,8.63,9.21,9.53,-,-,-,3.81,9.53,9.53
221,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8,8.9,1,8.83,-,9.83,1,6.23,-,7.23,8.66,9.19,-,-,-,3.68,9.19,9.19
222,10,10,-,7.5,6.67,-,10,6.67,10,10,10,10,7.57,0.8,2,2.8,0.5,0,-,0.5,0.9,0.75,-,1.65,1.65,4.02,0,5,5,4.61,4.61,4.61
223,10,10,6.67,10,10,10,10,6.67,10,10,10,10,9.44,1,6,7,1,3.17,-,4.17,0.9,-,-,0.9,4.02,6.19,-,-,-,2.48,6.19,6.19
224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
225,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,10,-,10,1,9.3,-,10,9.67,9.8,-,-,-,3.92,9.8,9.8
226,-,10,10,10,6.67,6.67,10,10,10,5,-,10,7.36,0.9,7,7.9,0.7,6.17,-,6.87,1,7.22,-,8.22,7.66,7.54,-,-,-,3.02,7.54,7.54
227,-,-,10,7.5,10,3.33,5,10,10,5,10,10,6.74,0.9,8,8.9,1,9,-,10,0.7,8.97,-,9.67,9.52,8.41,-,-,-,3.36,8.41,8.41
228,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,7,7.9,1,6.83,-,7.83,1,3.11,-,4.11,6.61,7.97,-,-,-,3.19,7.97,7.97
229,10,10,10,2.5,6.67,3.33,10,6.67,10,10,10,10,8.26,0.5,5,5.5,0.7,2,-,2.7,1,4.53,-,5.53,4.58,6.05,-,-,-,2.42,6.05,6.05
230,9.38,10,6.67,10,10,10,5,10,10,10,10,10,9.25,0.9,7.5,8.4,0.9,8.17,-,9.07,1,5.07,-,6.07,7.84,8.41,-,-,-,3.36,8.41,8.41
231,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7,4.5,5.2,0.9,6.17,-,7.07,0.9,1,-,1.9,4.72,6.83,-,-,-,2.73,6.83,6.83
232,10,10,10,7.5,10,10,10,6.67,10,10,10,10,9.51,0.8,5,5.8,1,5,-,6,1,1,-,2,4.6,6.57,-,-,-,2.63,6.57,6.57
233,9.38,10,10,10,10,10,10,10,10,10,10,10,9.95,0.9,9,9.9,0.8,6.17,-,6.97,1,8.07,-,9.07,8.64,9.17,-,-,-,3.67,9.17,9.17
234,9.38,10,10,10,10,10,10,10,10,10,10,10,9.95,0.9,8,8.9,0.9,2.33,-,3.23,0.9,3.08,-,3.98,5.37,7.2,-,-,-,2.88,7.2,7.2
235,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,1,6.5,7.5,1,8,-,9,1,6.6,-,7.6,8.03,8.74,-,-,-,3.49,8.74,8.74
236,10,10,10,10,10,6.67,10,10,10,10,10,10,9.72,0.9,8,8.9,0.8,5.33,-,6.13,0.8,7.3,-,8.1,7.71,8.52,-,-,-,3.41,8.52,8.52
237,10,10,10,10,10,10,10,10,10,10,10,10,10,1,7,8,0.9,8.5,-,9.4,1,6.03,-,7.03,8.14,8.89,-,-,-,3.55,8.89,8.89
238,-,10,10,10,10,10,10,10,10,10,10,10,9.17,1,6,7,1,7.33,-,8.33,0.9,4.6,-,5.5,6.94,7.83,-,-,-,3.13,7.83,7.83
239,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,7.5,-,8.5,0.9,10,-,10,9.5,9.7,-,-,-,3.88,9.7,9.7
240,10,-,10,7.5,10,10,10,6.67,10,5,-,10,7.43,0.9,5.5,6.4,1,1,-,2,0.9,5.77,-,6.67,5.02,5.99,-,-,-,2.39,5.99,5.99
241,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,9,-,10,1,8.03,-,9.03,9.34,9.61,-,-,-,3.84,9.61,9.61
242,10,10,10,7.5,10,10,10,6.67,10,10,10,10,9.51,1,5.5,6.5,1,6,-,7,1,6,-,7,6.83,7.91,-,-,-,3.16,7.91,7.91
243,9.38,10,10,7.5,10,-,10,-,10,10,10,-,7.24,0.8,6,6.8,0.9,2,-,2.9,0.8,5.28,-,6.08,5.26,6.05,-,-,-,2.42,6.05,6.05
244,10,10,10,10,10,10,10,10,10,10,10,10,10,0.6,5,5.6,1,3,-,4,1,2.43,-,3.43,4.34,6.61,-,-,-,2.64,6.61,6.61
