Id,Conceito Final (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 - ERE (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Total do curso (Real)
136,6.37,0.3,7.75,8.05,6.37,-,-,-,10,10,6.67,6.67,6.67,10,4.67,3.33,-,4.83,-,-,-,0,0.9,4.48,5.38,-,4.18,4.18,3.18,3.84,6.37
137,6.93,-,-,-,2.77,6.88,10,10,5,10,6.67,8.33,10,10,7.33,8.33,8.75,8.44,-,-,6.5,6.5,0.9,4.69,5.59,1,4.7,5.7,5.93,6.93,6.93
138,7.37,-,-,-,2.95,10,10,6.67,7.5,10,6.67,10,3.33,10,2.67,6.67,8,7.63,0.8,-,8.05,8.85,1,5.1,6.1,0.9,5.73,6.63,7.19,7.37,7.37
139,8.41,-,-,-,3.36,9.17,10,10,10,10,10,8.33,10,10,9,8.33,9,9.49,0.9,-,8.95,9.85,0.9,5.1,6,1,6.2,7.2,7.68,8.41,8.41
140,6.85,-,9,9,6.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.55,9.55,-,4.38,4.38,1,3.2,4.2,6.04,3.63,6.85
141,9.28,-,-,-,3.71,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,10,10,1,7.4,8.4,1,7,8,8.8,9.28,9.28
142,6.56,-,-,-,2.62,10,10,6.67,7.5,10,6.67,10,10,10,2.67,5.83,3.25,7.72,1,-,8.38,9.38,0.9,3.44,4.34,1,2.65,3.65,5.79,6.56,6.56
143,7.76,-,-,-,3.11,10,10,10,7.5,10,6.67,10,10,10,7,7.5,7,8.81,0.9,-,8,8.9,0.8,5.21,6.01,0.9,5.4,6.3,7.07,7.76,7.76
144,8.29,-,-,-,3.32,10,5,10,10,10,10,10,10,10,7.33,9.17,6,8.96,1,-,8.35,9.35,1,4.9,5.9,0.9,7.4,8.3,7.85,8.29,8.29
145,6.29,-,-,-,2.51,-,10,6.67,5,5,3.33,10,8.89,10,9,7.5,10,7.12,0.7,-,5.33,6.03,1,4.48,5.48,1,4.7,5.7,5.73,6.29,6.29
146,9.51,-,-,-,3.8,10,10,10,7.5,5,10,10,10,10,9,10,10,9.29,1,-,8.55,9.55,1,9.17,10,1,8.4,9.4,9.65,9.51,9.51
147,8.1,-,-,-,3.24,10,10,6.67,10,10,6.67,10,10,10,9,5.83,9,8.93,1,-,8.15,9.15,1,6.46,7.46,1,5.03,6.03,7.54,8.1,8.1
148,8.27,-,-,-,3.31,10,10,10,7.5,10,8.33,10,5.56,10,7,5.83,8,8.52,0.7,-,6.88,7.58,1,7.29,8.29,1,7.43,8.43,8.1,8.27,8.27
149,8.65,-,-,-,3.46,10,10,10,5,10,8.33,10,10,10,10,10,10,9.44,0.8,-,9.45,10,1,4.27,5.27,1,8.1,9.1,8.12,8.65,8.65
150,6.52,-,-,-,2.61,-,10,10,5,5,10,8.33,4.44,10,8,5.83,8,7.05,0.8,-,6.98,7.78,0.9,4.48,5.38,1,4.33,5.33,6.16,6.52,6.52
151,6.34,-,-,-,2.54,8.44,10,10,5,5,6.67,10,3.33,10,10,9.17,9,8.05,0.5,-,7.85,8.35,0.9,1.67,2.57,0.8,3.9,4.7,5.21,6.34,6.34
152,8.14,-,-,-,3.26,10,10,10,5,10,6.67,10,8.89,10,8.33,8.33,10,8.94,1,-,8.45,9.45,0.9,4.9,5.8,1,6.6,7.6,7.62,8.14,8.14
153,8.55,-,-,-,3.42,10,10,10,10,10,8.33,10,10,10,10,9.17,10,9.79,0.8,-,8,8.8,1,4.69,5.69,1,7.68,8.68,7.72,8.55,8.55
154,9.46,-,-,-,3.79,10,10,10,10,10,10,10,10,10,6.67,10,10,9.72,0.8,-,9.75,10,0.9,6.98,7.88,1,9.1,10,9.29,9.46,9.46
155,6.58,-,-,-,2.63,10,10,10,10,10,6.67,8.33,3.33,10,8,8.33,4.25,8.24,0.8,-,5.7,6.5,1,3.44,4.44,1,4.48,5.48,5.47,6.58,6.58
156,6.72,-,-,-,2.69,6.88,0,10,7.5,10,6.67,10,10,10,10,10,8.75,8.32,-,-,6.43,6.43,1,3.13,4.13,1,5.43,6.43,5.66,6.72,6.72
157,9.35,-,-,-,3.74,10,10,10,8.75,10,6.67,10,10,10,10,10,10,9.62,1,-,8.6,9.6,1,7.81,8.81,0.9,8.2,9.1,9.17,9.35,9.35
158,6.21,-,-,-,2.48,10,10,10,5,10,3.33,8.33,0,10,8,8.33,9,7.67,0.5,-,8.83,9.33,0.3,2.19,2.49,0.6,3.3,3.9,5.24,6.21,6.21
159,7.9,-,-,-,3.16,9.17,10,10,7.5,10,10,10,10,10,8,10,10,9.56,1,-,8.45,9.45,1,5.52,6.52,1,3.4,4.4,6.79,7.9,7.9
160,9.15,-,-,-,3.66,10,10,10,10,10,10,10,10,10,9,8.33,10,9.78,0.8,-,7.43,8.23,0.8,8.85,9.65,0.8,7.5,8.3,8.73,9.15,9.15
161,7.59,-,-,-,3.03,10,10,10,10,-,6.67,10,8.89,10,5.33,6.67,3.5,7.59,0.9,-,8.45,9.35,1,6.35,7.35,0.9,5.15,6.05,7.58,7.59,7.59
162,7.89,-,-,-,3.15,10,10,10,6.25,10,10,10,10,10,6.67,8.33,10,9.27,0.8,-,9.35,10,0.9,4.17,5.07,1,4.83,5.83,6.96,7.89,7.89
163,6.56,-,-,-,2.62,7.92,10,10,10,5,6.67,10,7.22,10,5,5.83,3,7.55,0.6,-,7.43,8.03,0.7,4.69,5.39,1,3.28,4.28,5.9,6.56,6.56
164,6.53,-,-,-,2.61,10,10,10,5,10,10,8.33,6.11,10,6.33,6.67,8.75,8.43,0.8,-,6.65,7.45,0.7,2.4,3.1,1,4.25,5.25,5.27,6.53,6.53
165,6.37,0.5,6.33,6.83,6.37,10,10,10,-,-,8.33,10,8.89,10,7,-,-,6.19,0.6,-,7.58,8.18,0.9,2.19,3.09,0.9,3.8,4.7,5.32,5.67,6.37
166,6.23,-,-,-,2.49,10,10,6.67,7.5,5,10,6.67,10,5,10,5.83,3,7.47,0.7,-,6.58,7.28,1,3.13,4.13,1,3.8,4.8,5.4,6.23,6.23
167,5.95,-,-,-,2.38,10,5,6.67,5,-,-,-,0,10,0,2.5,8,3.93,0.8,-,7.88,8.68,1,4.17,5.17,0.8,7.23,8.03,7.29,5.95,5.95
168,6.68,-,-,-,2.67,10,10,10,7.5,5,6.67,8.33,8.89,10,0,5,4,7.12,0.9,-,8.83,9.73,1,1.25,2.25,1,6.2,7.2,6.39,6.68,6.68
169,9.32,-,-,-,3.73,10,10,10,7.5,5,10,10,3.33,10,8.33,9.17,10,8.61,1,-,9.2,10,0.8,8.96,9.76,1,8.6,9.6,9.79,9.32,9.32
170,8.06,-,-,-,3.22,10,10,-,10,-,10,8.33,10,0,8,7.5,6.75,6.72,0.9,-,10,10,0.8,6.67,7.47,0.8,8.6,9.4,8.96,8.06,8.06
171,8.58,-,-,-,3.43,10,10,10,10,5,5,6.67,6.67,10,4.33,9.17,9,7.99,0.9,-,8.98,9.88,0.8,6.35,7.15,0.8,9.1,9.9,8.98,8.58,8.58
172,9.07,-,-,-,3.63,10,10,10,10,10,10,10,8.89,10,10,8.33,9,9.69,1,-,9,10,1,6.88,7.88,0.9,7.2,8.1,8.66,9.07,9.07
173,9.13,-,-,-,3.65,10,10,10,10,10,10,10,10,10,10,5,8,9.42,1,-,9,10,0.9,7.5,8.4,1,7.4,8.4,8.93,9.13,9.13
174,8.27,-,-,-,3.31,10,10,10,7.5,5,10,10,10,10,10,10,9,9.29,0.9,-,8.75,9.65,0.9,7.5,8.4,0.8,3.9,4.7,7.58,8.27,8.27
175,9.72,-,-,-,3.89,10,10,10,10,10,10,10,10,5,10,10,10,9.58,1,-,10,10,0.9,8.75,9.65,1,8.8,9.8,9.82,9.72,9.72
176,9.09,-,-,-,3.64,10,10,10,10,10,10,10,6.67,10,6,10,9,9.31,1,-,10,10,0.8,6.04,6.84,1,10,10,8.95,9.09,9.09
177,7.11,-,-,-,2.84,8.65,10,10,3.75,10,8.33,10,3.89,10,8,8.33,4,7.91,0.6,-,7.43,8.03,0.6,1.88,2.48,-,9.2,9.2,6.57,7.11,7.11
178,7.65,-,-,-,3.06,10,10,10,5,5,3.33,6.67,4.44,10,8.33,5,7,7.06,0.7,-,9.33,10,-,7.92,7.92,-,6.2,6.2,8.04,7.65,7.65
179,7.01,-,-,-,2.8,10,10,10,7.5,10,6.67,6.67,10,5,7,3.33,3,7.43,0.7,-,10,10,0.7,4.9,5.6,0.8,3.8,4.6,6.73,7.01,7.01
180,7.45,-,-,-,2.98,10,10,6.67,6.25,10,10,8.33,0,10,2.67,5.83,9,7.4,0.9,-,8.75,9.65,0.5,3.13,3.63,0.8,8.4,9.2,7.49,7.45,7.45
181,9.13,-,-,-,3.65,8.96,10,10,10,10,10,6.67,10,10,10,9.17,10,9.57,0.8,-,8.8,9.6,0.7,8.13,8.83,1,7.1,8.1,8.84,9.13,9.13
182,7.5,-,-,-,3,-,10,10,7.5,10,10,10,8.89,10,9,10,9,8.7,0.9,-,7.05,7.95,-,6.25,6.25,-,5.9,5.9,6.7,7.5,7.5
183,9.7,-,-,-,3.88,9.17,10,10,10,10,10,10,10,10,10,10,9,9.85,1,-,10,10,0.9,7.92,8.82,0.8,10,10,9.61,9.7,9.7
184,6.59,-,-,-,2.64,9.48,5,6.67,3.75,10,10,8.33,5.56,0,4.33,8.33,6,6.45,0.6,-,4.13,4.73,0.7,5.73,6.43,0.6,8.3,8.9,6.68,6.59,6.59
185,7.77,-,-,-,3.11,9.48,10,10,7.5,10,-,10,10,5,9,7.5,8,8.04,0.7,-,9.8,10,0.9,4.27,5.17,0.9,6.7,7.6,7.59,7.77,7.77
186,9.72,-,-,-,3.89,10,10,10,2.5,10,10,10,10,10,10,10,9,9.29,0.9,-,9.63,10,1,9.58,10,1,10,10,10,9.72,9.72
187,7,0.9,7,7.9,7,10,10,6.67,7.5,0,-,10,6.67,10,5.33,-,-,5.51,0.7,-,7.93,8.63,0.6,3.85,4.45,-,4.15,4.15,5.74,5.65,7
188,9.58,-,-,-,3.83,10,10,10,10,10,10,8.33,10,10,9,10,9,9.69,0.9,-,9,9.9,0.8,7.81,8.61,1,9,10,9.5,9.58,9.58
189,9.42,-,-,-,3.77,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,10,10,1,7.4,8.4,1,7.7,8.7,9.03,9.42,9.42
190,9.68,-,-,-,3.87,10,10,10,10,10,10,10,10,10,9,10,9,9.83,1,-,8.7,9.7,1,8.85,9.85,1,8.2,9.2,9.58,9.68,9.68
191,7.47,-,-,-,2.99,9.48,10,10,3.75,10,6.67,10,8.89,10,3.67,5,5,7.7,0.9,-,7.25,8.15,0.9,6.15,7.05,0.9,5.85,6.75,7.32,7.47,7.47
192,7.69,-,-,-,3.08,8.44,10,10,10,10,6.67,10,7.78,10,7,8.33,7,8.77,1,-,6.93,7.93,1,5.1,6.1,0.7,6.2,6.9,6.98,7.69,7.69
193,4.91,-,6,6,4.91,-,10,10,-,0,-,-,0,5,5.33,-,-,2.53,-,-,7.75,7.75,-,0,0,-,3.55,3.55,3.77,3.27,4.91
194,4.79,0.9,3,3.9,4.25,9.17,10,6.67,5,5,6.67,8.33,6.67,10,4.33,6.67,6.75,7.1,1,-,4.5,5.5,0.6,1.25,1.85,0.9,1.48,2.38,3.24,4.79,4.79
195,8.21,-,-,-,3.28,9.48,10,10,7.5,5,8.33,10,6.67,10,4.33,7.5,4.5,7.78,0.8,-,9.75,10,1,5,6,0.9,8.6,9.5,8.5,8.21,8.21
196,8.63,-,-,-,3.45,7.92,10,10,8.75,5,8.33,10,8.89,5,10,10,9,8.57,0.8,-,7.38,8.18,0.4,7.81,8.21,0.7,8.9,9.6,8.66,8.63,8.63
197,7.36,0.9,8,8.9,7.36,9.48,5,10,7.5,5,-,6.67,0,-,7,-,9,4.97,-,-,5.23,5.23,0.9,3.65,4.55,1,4.53,5.53,5.1,5.05,7.36
198,8.55,-,-,-,3.42,10,10,10,10,10,10,10,10,10,10,9.17,9,9.85,1,-,7.85,8.85,1,7.29,8.29,1,4.9,5.9,7.68,8.55,8.55
199,5.51,0.9,4,4.9,5.14,10,10,10,7.5,5,10,6.67,7.22,10,6,-,-,6.87,-,-,5.8,5.8,1,1.98,2.98,1,4.05,5.05,4.61,5.51,5.51
200,9.42,-,-,-,3.77,10,10,10,10,10,8.33,10,10,10,8,10,10,9.69,0.8,-,10,10,0.6,8.85,9.45,0.9,7.35,8.25,9.23,9.42,9.42
201,7.37,-,-,-,2.95,10,10,6.67,7.5,5,6.67,6.67,10,10,6,10,1,7.46,0.9,-,9.6,10,0.8,3.44,4.24,0.9,6.8,7.7,7.31,7.37,7.37
202,8,-,-,-,3.2,10,10,6.67,10,10,8.33,8.33,10,10,9,8.33,5,8.81,1,-,7.28,8.28,1,5.83,6.83,0.9,6.4,7.3,7.47,8,8
203,9.02,-,-,-,3.61,10,10,10,10,10,10,10,10,10,7,10,10,9.75,1,-,9.8,10,1,6.88,7.88,1,6.7,7.7,8.53,9.02,9.02
204,9.76,-,-,-,3.9,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,7.93,8.93,0.9,8.96,9.86,0.9,10,10,9.59,9.76,9.76
205,6.93,-,-,-,2.77,10,10,10,6.25,5,10,10,8.89,10,6.33,-,8,7.87,0.9,-,8.63,9.53,1,4.79,5.79,0.9,2.7,3.6,6.31,6.93,6.93
206,7.11,0.9,8.33,9.23,7.11,10,10,10,5,5,-,8.33,0,-,-,-,-,4.03,0.8,-,7.35,8.15,-,-,0,1,2.45,3.45,3.87,3.93,7.11
207,7.54,-,-,-,3.02,10,10,10,5,10,8.33,8.33,2.22,10,8,7.5,4,7.78,0.9,-,8.9,9.8,1,3.13,4.13,0.9,7.3,8.2,7.38,7.54,7.54
208,6.68,-,-,-,2.67,10,10,10,7.5,10,8.33,6.67,-,10,0,7.5,-,6.67,1,-,8.33,9.33,0.9,5.1,6,0.9,3.83,4.73,6.68,6.68,6.68
209,7.27,-,-,-,2.91,8.96,10,10,10,5,6.67,8.33,8.89,10,5,8.33,7.75,8.24,0.7,-,6.8,7.5,0.9,3.75,4.65,0.7,7,7.7,6.62,7.27,7.27
210,7.57,-,-,-,3.03,10,10,10,5,10,8.33,10,8.89,10,9,9.17,7.75,9.01,1,-,8.5,9.5,1,2.5,3.5,1,5.85,6.85,6.62,7.57,7.57
211,7.81,-,-,-,3.12,-,10,10,2.5,10,8.33,6.67,10,5,8,6.67,10,7.26,0.8,-,8.85,9.65,0.5,4.38,4.88,0.8,10,10,8.18,7.81,7.81
212,9.01,-,-,-,3.61,10,10,10,10,5,10,10,10,5,10,10,10,9.17,1,-,10,10,1,8.23,9.23,0.9,6.6,7.5,8.91,9.01,9.01
213,7.44,-,-,-,2.98,10,10,10,6.25,10,10,10,10,10,-,6.67,-,7.74,0.9,-,7.98,8.88,1,7.71,8.71,0.9,3.25,4.15,7.24,7.44,7.44
214,6.56,-,-,-,2.62,10,10,10,10,5,8.33,8.33,3.33,10,4.33,5.83,1,7.18,0.8,-,7.33,8.13,1,5.63,6.63,1,2.7,3.7,6.15,6.56,6.56
215,8.99,-,-,-,3.6,9.17,10,6.67,7.5,10,8.33,10,10,10,10,10,10,9.31,0.9,-,8.55,9.45,0.8,7.4,8.2,0.9,7.8,8.7,8.78,8.99,8.99
216,6.34,-,-,-,2.54,9.17,10,6.67,7.5,10,6.67,6.67,0,5,0,-,-,5.14,0.6,-,2.2,2.8,0.6,8.65,9.25,1,8.4,9.4,7.15,6.34,6.34
217,8.6,-,-,-,3.44,10,10,10,10,10,6.67,10,10,10,10,9.17,4.5,9.19,1,-,7.7,8.7,1,7.19,8.19,1,6.7,7.7,8.2,8.6,8.6
218,8.54,-,-,-,3.41,10,10,10,7.5,10,8.33,10,10,10,8,10,9,9.4,1,-,8.53,9.53,1,6.25,7.25,1,6.1,7.1,7.96,8.54,8.54
219,6.49,0.9,6.25,7.15,6.49,10,5,10,7.5,5,-,8.33,3.33,10,5.33,5,6.25,6.31,0.8,-,7.08,7.88,0.9,2.81,3.71,0.9,2.4,3.3,4.96,5.5,6.49
